
baseline,0.3811,0.4343,0.7566,0.5519,0.2163,7.69
improved,0.4888,0.5732,0.7685,0.6567,0.1431,11.64
baseline,0.3776,0.4698,0.6580,0.5482,0.1992,8.03
improved,0.4943,0.5893,0.7540,0.6615,0.1389,10.70
smoke,0.0000,0.0000,0.0000,0.0000,0.4881,10.14
